コード	前	後
JP-PRTR-C1-407	五―ターシャリ―ブチル―三―（二・四―ジクロロ―五―イソプロポキシフェニル）―一・三・四―オキサジアゾール―二（三Ｈ）―オン（別名オキサジアゾン）	５－ターシャリ－ブチル－３－（２，４－ジクロロ－５－イソプロポキシフェニル）－１，３，４－オキサジアゾール－２（３Ｈ）－オン（別名オキサジアゾン）
JP-PRTR-C1-408	一―（五―ターシャリ―ブチル―一・三・四―チアジアゾール―二―イル）―一・三―ジメチル尿素（別名テブチウロン）	１－（５－ターシャリ－ブチル－１，３，４－チアジアゾール－２－イル）－１，３－ジメチル尿素（別名テブチウロン）
JP-PRTR-C1-409	二―（四―ターシャリ―ブチルフェニル）―二―シアノ―三―オキソ―三―（二―トリフルオロメチルフェニル）プロパン酸＝二―メトキシエチル（別名シフルメトフェン）	２－（４－ターシャリ－ブチルフェニル）－２－シアノ－３－オキソ－３－（２－トリフルオロメチルフェニル）プロパン酸＝２－メトキシエチル（別名シフルメトフェン）
JP-PRTR-C1-410	三―（四―ターシャリ―ブチルフェニル）プロパナール	３－（４－ターシャリ－ブチルフェニル）プロパナール
JP-PRTR-C1-411	三―（四―ターシャリ―ブチルフェニル）―二―メチルプロパナール	３－（４－ターシャリ－ブチルフェニル）－２－メチルプロパナール
JP-PRTR-C1-412	二―ターシャリ―ブチルフェノール	２－ターシャリ－ブチルフェノール
JP-PRTR-C1-413	二―（四―ターシャリ―ブチルフェノキシ）シクロヘキシル＝二―プロピニル＝スルフィット（別名プロパルギット又はＢＰＰＳ）	２－（４－ターシャリ－ブチルフェノキシ）シクロヘキシル＝２－プロピニル＝スルフィット（別名プロパルギット又はＢＰＰＳ）
JP-PRTR-C1-415	二―ブテナール	２－ブテナール
JP-PRTR-C1-416	二―ターシャリ―ブトキシエタノール	２－ターシャリ－ブトキシエタノール
JP-PRTR-C1-417	Ｎ―ブトキシメチル―二―クロロ―二′・六′―ジエチルアセトアニリド（別名ブタクロール）	Ｎ－ブトキシメチル－２－クロロ－２’・６’－ジエチルアセトアニリド（別名ブタクロール）
JP-PRTR-C1-419	Ｎ・Ｎ′―プロピレンビス（ジチオカルバミン酸）と亜鉛の重合物（別名プロピネブ）	Ｎ，Ｎ’－プロピレンビス（ジチオカルバミン酸）と亜鉛の重合物（別名プロピネブ）
JP-PRTR-C1-420	ブロモクロロジフルオロメタン（別名ハロン―一二一一）	ブロモクロロジフルオロメタン（別名ハロン－１２１１）
JP-PRTR-C1-421	四―ブロモ―二―（四―クロロフェニル）―一―エトキシメチル―五―（トリフルオロメチル）ピロール―三―カルボニトリル（別名クロルフェナピル）	４－ブロモ－２－（４－クロロフェニル）－１－エトキシメチル－５－（トリフルオロメチル）ピロール－３－カルボニトリル（別名クロルフェナピル）
JP-PRTR-C1-422	三―ブロモ―Ｎ―［四―クロロ―二―メチル―六―（メチルカルバモイル）フェニル］―一―（三―クロロピリジン―二―イル）―一Ｈ―ピラゾール―五―カルボキサミド（別名クロラントラニリプロール）	３－ブロモ－Ｎ－［４－クロロ－２－メチル－６－（メチルカルバモイル）フェニル］－１－（３－クロロピリジン－２－イル）－１Ｈ－ピラゾール－５－カルボキサミド（別名クロラントラニリプロール）
JP-PRTR-C1-424	ブロモトリフルオロメタン（別名ハロン―一三〇一）	ブロモトリフルオロメタン（別名ハロン－１３０１）
JP-PRTR-C1-425	五―ブロモ―三―セカンダリ―ブチル―六―メチル―一・二・三・四―テトラヒドロピリミジン―二・四―ジオン（別名ブロマシル）	５－ブロモ－３－セカンダリ－ブチル－６－メチル－１，２，３，４－テトラヒドロピリミジン－２，４－ジオン（別名ブロマシル）
JP-PRTR-C1-426	三―（三―ブロモ―六―フルオロ―二―メチルインドール―一―イルスルホニル）―Ｎ・Ｎ―ジメチル―一・二・四―トリアゾール―一―スルホンアミド（別名アミスルブロム）	３－（３－ブロモ－６－フルオロ－２－メチルインドール－１－イルスルホニル）－Ｎ，Ｎ－ジメチル－１，２，４－トリアゾール－１－スルホンアミド（別名アミスルブロム）
JP-PRTR-C1-427	一―ブロモプロパン	１－ブロモプロパン
JP-PRTR-C1-428	二―ブロモプロパン	２－ブロモプロパン
JP-PRTR-C1-430	六・七・八・九・一〇・一〇―ヘキサクロロ―一・五・五ａ・六・九・九ａ―ヘキサヒドロ―六・九―メタノ―二・四・三―ベンゾジオキサチエピン＝三―オキシド（別名エンドスルファン又はベンゾエピン）	６，７，８，９，１０，１０－ヘキサクロロ－１，５，５ａ，６，９，９ａ－ヘキサヒドロ－６，９－メタノ－２，４，３－ベンゾジオキサチエピン＝３－オキシド（別名エンドスルファン又はベンゾエピン）
JP-PRTR-C1-432	ヘキサヒドロ―一・三・五―トリス（二―ヒドロキシエチル）―一・三・五―トリアジン	ヘキサヒドロ－１，３，５－トリス（２－ヒドロキシエチル）－１，３，５－トリアジン
JP-PRTR-C1-433	四・六・六・七・八・八―ヘキサメチル―一・三・四・六・七・八―ヘキサヒドロシクロペンタ［ｇ］イソクロメン	４，６，６，７，８，８－ヘキサメチル－１，３，４，６，７，８－ヘキサヒドロシクロペンタ［ｇ］イソクロメン
JP-PRTR-C1-438	ヘキシル＝二―ヒドロキシベンゾアート	ヘキシル＝２－ヒドロキシベンゾアート
JP-PRTR-C1-439	一―ヘキセン	１－ヘキセン
JP-PRTR-C1-441	一・四・五・六・七・八・八―ヘプタクロロ―二・三―エポキシ―二・三・三ａ・四・七・七ａ―ヘキサヒドロ―四・七―メタノ―一Ｈ―インデン（別名ヘプタクロルエポキシド）	１，４，５，６，７，８，８－ヘプタクロロ－２，３－エポキシ－２，３，３ａ，４，７，７ａ－ヘキサヒドロ－４，７－メタノ－１Ｈ－インデン（別名ヘプタクロルエポキシド）
JP-PRTR-C1-443	五―ヘプチルオキソラン―二―オン	５－ヘプチルオキソラン－２－オン
JP-PRTR-C1-447	ペルフルオロ（オクタン―一―スルホン酸）（別名ＰＦＯＳ）	ペルフルオロ（オクタン－１－スルホン酸）（別名ＰＦＯＳ）
JP-PRTR-C1-449	二―ベンジリデンオクタナール	２－ベンジリデンオクタナール
JP-PRTR-C1-453	一・二・四―ベンゼントリカルボン酸一・二―無水物	１，２，４－ベンゼントリカルボン酸１，２－無水物
JP-PRTR-C1-454	三―（一・三―ベンゾジオキソール―五―イル）―二―メチルプロパナール	３－（１，３－ベンゾジオキソール－５－イル）－２－メチルプロパナール
JP-PRTR-C1-455	二―（二―ベンゾチアゾリルオキシ）―Ｎ―メチルアセトアニリド（別名メフェナセット）	２－（２－ベンゾチアゾリルオキシ）－Ｎ－メチルアセトアニリド（別名メフェナセット）
JP-PRTR-C1-460	ポリ（オキシエチレン）＝アルキルエーテル（アルキル基の炭素数が十二から十五までのもの及びその混合物に限る。）	ポリ（オキシエチレン）＝アルキルエーテル（アルキル基の炭素数が１２から１５までのもの及びその混合物に限る。）
JP-PRTR-C1-461	ポリ（オキシエチレン）＝アルキルフェニルエーテル（アルキル基の炭素数が八のものに限る。）	ポリ（オキシエチレン）＝アルキルフェニルエーテル（アルキル基の炭素数が８のものに限る。）
JP-PRTR-C1-462	ポリ（オキシエチレン）＝アルキルフェニルエーテル（アルキル基の炭素数が九のものに限る。）	ポリ（オキシエチレン）＝アルキルフェニルエーテル（アルキル基の炭素数が９のものに限る。）
JP-PRTR-C1-470	（Ｚ）―二′―メチルアセトフェノン＝四・六―ジメチル―二―ピリミジニルヒドラゾン（別名フェリムゾン）	（Ｚ）－２’－メチルアセトフェノン＝４，６－ジメチル－２－ピリミジニルヒドラゾン（別名フェリムゾン）
JP-PRTR-C1-473	メチル＝二―（三―オキソ―二―ペンチルシクロペンチル）アセタート	メチル＝２－（３－オキソ－２－ペンチルシクロペンチル）アセタート
JP-PRTR-C1-474	二―［メチル―［（Ｚ）―オクタデカ―九―エノイル］アミノ］酢酸（別名オレオイルザルコシン）	２－［メチル－［（Ｚ）－オクタデカ－９－エノイル］アミノ］酢酸（別名オレオイルザルコシン）
JP-PRTR-C1-475	Ｎ―メチルカルバミン酸二・三―ジヒドロ―二・二―ジメチル―七―ベンゾ［ｂ］フラニル（別名カルボフラン）	Ｎ－メチルカルバミン酸２，３－ジヒドロ－２，２－ジメチル－７－ベンゾ［ｂ］フラニル（別名カルボフラン）
JP-PRTR-C1-476	Ｎ―メチルカルバミン酸一―ナフチル（別名カルバリル又はＮＡＣ）	Ｎ－メチルカルバミン酸１－ナフチル（別名カルバリル又はＮＡＣ）
JP-PRTR-C1-477	Ｎ―メチルカルバミン酸二―セカンダリ―ブチルフェニル（別名フェノブカルブ又はＢＰＭＣ）	Ｎ－メチルカルバミン酸２－セカンダリ－ブチルフェニル（別名フェノブカルブ又はＢＰＭＣ）
JP-PRTR-C1-478	メチル＝（Ｅ）―二―［二―［六―（二―シアノフェノキシ）ピリミジン―四―イルオキシ］フェニル］―三―メトキシアクリラート（別名アゾキシストロビン）	メチル＝（Ｅ）－２－［２－［６－（２－シアノフェノキシ）ピリミジン－４－イルオキシ］フェニル］－３－メトキシアクリラート（別名アゾキシストロビン）
JP-PRTR-C1-479	Ｎ―メチルジチオカルバミン酸（別名カーバム）	Ｎ－メチルジチオカルバミン酸（別名カーバム）
JP-PRTR-C1-480	Ｎ―メチルジチオカルバミン酸ナトリウム（別名メタムナトリウム塩）	Ｎ－メチルジチオカルバミン酸ナトリウム（別名メタムナトリウム塩）
JP-PRTR-C1-481	Ｎ―メチルジデカン―一―イルアミン	Ｎ－メチルジデカン－１－イルアミン
JP-PRTR-C1-482	アルファ―メチルスチレン	アルファ－メチルスチレン
JP-PRTR-C1-483	二―メチルチオ―四―エチルアミノ―六―（一・二―ジメチルプロピルアミノ）―ｓ―トリアジン（別名ジメタメトリン）	２－メチルチオ－４－エチルアミノ－６－（１，２－ジメチルプロピルアミノ）－ｓ－トリアジン（別名ジメタメトリン）
JP-PRTR-C1-485	（Ｅ）―三―メチル―四―（二・六・六―トリメチルシクロヘキサ―二―エン―一―イル）ブタ―三―エン―二―オン	（Ｅ）－３－メチル－４－（２，６，６－トリメチルシクロヘキサ－２－エン－１－イル）ブタ－３－エン－２－オン
JP-PRTR-C1-487	（ＲＳ）―一―メチル―二―ニトロ―三―（テトラヒドロ―三―フリルメチル）グアニジン（別名ジノテフラン）	（ＲＳ）－１－メチル－２－ニトロ－３－（テトラヒドロ－３－フリルメチル）グアニジン（別名ジノテフラン）
